Date,Name,Year,Letterboxd URI,Rating
2026-06-30,Fight Club,1999,https://boxd.it/2a9q,3
2026-06-30,The Dropout,2022,https://boxd.it/zilg,3
2026-06-30,Unknown Number: The High School Catfish,2025,https://boxd.it/WtQq,5
2026-06-30,Tiger King,2020,https://boxd.it/pzj2,4
2026-06-30,The Tinder Swindler,2022,https://boxd.it/yMLw,4
2026-06-30,The Jinx: The Life and Deaths of Robert Durst,2015,https://boxd.it/aqAe,4
2026-06-30,Our Father,2022,https://boxd.it/Am5e,3
2026-06-30,Keep Sweet: Pray and Obey,2022,https://boxd.it/Bgb8,4
2026-06-30,The Hatchet Wielding Hitchhiker,2023,https://boxd.it/E9tq,4
2026-06-30,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2026-06-30,Whiplash,2014,https://boxd.it/7bQA,4
2026-06-30,A Few Good Men,1992,https://boxd.it/29nw,5
2026-06-30,The Truman Show,1998,https://boxd.it/18U8,4
2026-06-30,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2026-06-30,The Shining,1980,https://boxd.it/29Nu,4
2026-06-30,Jurassic Park,1993,https://boxd.it/2aA2,4
2026-06-30,Titanic,1997,https://boxd.it/2a2k,5
2026-06-30,The Parent Trap,1998,https://boxd.it/1XJq,3
2026-06-30,Jaws,1975,https://boxd.it/2a5e,5
2026-06-30,Top Gun: Maverick,2022,https://boxd.it/cjr4,5
2026-06-30,Untitled Top Gun 3,,https://boxd.it/KHaO,5
2026-06-30,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,5
2026-06-30,The Inventor: Out for Blood in Silicon Valley,2019,https://boxd.it/kLa2,3
2026-06-30,To Dye For: The Documentary,2025,https://boxd.it/SglQ,3
2026-06-30,Crime 101,2026,https://boxd.it/IoGs,4
2026-06-30,Paradise Lost: The Child Murders at Robin Hood Hills,1996,https://boxd.it/1J0m,4
2026-06-30,JFK Assassination: A New Perspective,2025,https://boxd.it/Xvzo,4
2026-06-30,Twister,1996,https://boxd.it/29S0,5
2026-06-30,Drumline,2002,https://boxd.it/1Q2Y,5
2026-06-30,Unstoppable,2024,https://boxd.it/FFd2,5
2026-07-04,The Hornet's Nest,2014,https://boxd.it/7QeW,5
2026-07-06,The Amazing Johnathan Documentary,2019,https://boxd.it/kQZu,2
2026-07-16,The Keepers,2017,https://boxd.it/gmVu,4
2026-07-29,The Last Descent,2016,https://boxd.it/exZe,3
2026-08-01,The Idaho College Murders,2023,https://boxd.it/FAqg,5
2026-08-20,Abducted in Plain Sight,2017,https://boxd.it/gRnI,5
2026-08-22,72 Hours,2024,https://boxd.it/QenQ,4
2026-08-24,The Legend of Cocaine Island,2018,https://boxd.it/irJW,5
